date,year,month,day,market,category,price,price_filled,fill_method
2009-01-01,2009,1,1,Ahmedabad,NECC,204.0,204.0,observed
2009-01-01,2009,1,1,Ajmer,NECC,212.0,212.0,observed
2009-01-01,2009,1,1,Asansole,NECC,NA,500.0,next_price
2009-01-01,2009,1,1,Barwala,NECC,NA,168.0,next_price
2009-01-01,2009,1,1,Bengaluru (CC),NECC,195.0,195.0,observed
2009-01-01,2009,1,1,Brahmapur (OD),NECC,NA,305.0,next_price
2009-01-01,2009,1,1,Burdwan (CC),NECC,NA,504.0,next_price
2009-01-01,2009,1,1,Chennai (CC),NECC,203.0,203.0,observed
2009-01-01,2009,1,1,Chittoor,NECC,191.0,191.0,observed
2009-01-01,2009,1,1,Delhi (CC),NECC,220.0,220.0,observed
2009-01-01,2009,1,1,E.Godavari,NECC,NA,211.0,next_price
2009-01-01,2009,1,1,Hospet,NECC,NA,165.0,next_price
2009-01-01,2009,1,1,Hyderabad,NECC,186.0,186.0,observed
2009-01-01,2009,1,1,Jabalpur,NECC,NA,550.0,next_price
2009-01-01,2009,1,1,Kolkata (WB),NECC,210.0,210.0,observed
2009-01-01,2009,1,1,Ludhiana,NECC,NA,168.0,next_price
2009-01-01,2009,1,1,Midnapur (KOL),NECC,NA,504.0,next_price
2009-01-01,2009,1,1,Mumbai (CC),NECC,208.0,208.0,observed
2009-01-01,2009,1,1,Mysuru,NECC,200.0,200.0,observed
2009-01-01,2009,1,1,Namakkal,NECC,200.0,200.0,observed
2009-01-01,2009,1,1,Pune,NECC,NA,168.0,next_price
2009-01-01,2009,1,1,Raipur,NECC,NA,180.0,next_price
2009-01-01,2009,1,1,Surat,NECC,NA,445.0,next_price
2009-01-01,2009,1,1,Vijayawada,NECC,184.0,184.0,observed
2009-01-01,2009,1,1,Vizag,NECC,200.0,200.0,observed
2009-01-01,2009,1,1,W.Godavari,NECC,184.0,184.0,observed
2009-01-01,2009,1,1,Warangal,NECC,187.0,187.0,observed
2009-01-01,2009,1,1,Allahabad (CC),PREVAILING,NA,198.0,next_price
2009-01-01,2009,1,1,Bhopal,PREVAILING,NA,180.0,next_price
2009-01-01,2009,1,1,Indore (CC),PREVAILING,198.0,198.0,observed
2009-01-01,2009,1,1,Jabalpur,PREVAILING,203.0,203.0,observed
2009-01-01,2009,1,1,Kanpur (CC),PREVAILING,NA,200.0,next_price
2009-01-01,2009,1,1,Luknow (CC),PREVAILING,212.0,212.0,observed
